group_id,core_venue_type,food_emphasis,experience_context
1,"Bar; Restaurant","Food-Focused","Mixed-Audience; Day-to-Night"
2,"Bar; Restaurant","Food-Focused","Nightlife"
3,"Bar; Restaurant","Food-Focused","Mixed-Audience; Day-to-Night"
4,"Sports Bar; Pub/Brewery","Drink-Focused","Event-Oriented (Sports)"
5,"Bar; Restaurant","Food-Focused","Event-Oriented"
6,"Bar; Restaurant","Food-Focused","Nightlife"
7,"Sports Bar; Bar","Food-Focused","Event-Oriented (Sports)"
8,"Bar; Restaurant","Food-Focused","Nightlife"
9,"Sports Bar; Restaurant","Food-Focused","Event-Oriented (Sports)"
10,"Bar","Drink-Focused","Nightlife"
11,"Sports Bar; Bar; Entertainment Venue","Drink-Focused","Event-Oriented; Entertainment"
12,"Sports Bar; Bar; Restaurant","Food-Focused","Event-Oriented (Sports)"
13,"Sports Bar; Entertainment Venue","Drink-Focused","Event-Oriented; Entertainment"
14,"Bar; Restaurant","Food-Focused","Nightlife"
15,"Sports Bar; Dive Bar","Food-Focused","Event-Oriented (Sports)"
16,"Bar; Entertainment Venue","Drink-Focused","Entertainment"
17,"Sports Bar; Bar; Restaurant","Food-Focused","Event-Oriented (Sports)"
18,"Pub; Bar; Restaurant","Food-Focused","Nightlife"
19,"Bar; Restaurant","Food-Focused","Nightlife"
20,"Sports Bar; Bar; Restaurant","Food-Focused","Event-Oriented (Sports)"
21,"Bar; Restaurant","Food-Focused","Nightlife"
22,"Bar; Restaurant","Food-Focused","Nightlife"
23,"Restaurant","Food-Focused","Mixed-Audience"
24,"Pub; Bar; Entertainment Venue","Drink-Focused","Entertainment"
25,"Dive Bar; Entertainment Venue","Drink-Focused","Adult-Oriented; Entertainment"
26,"Entertainment Venue","Drink-Focused","Adult-Oriented; Entertainment"
27,"Entertainment Venue; Restaurant","Food-Focused","Mixed-Audience"
28,"Bar; Restaurant","Food-Focused","Nightlife"
29,"Sports Bar; Bar; Restaurant","Food-Focused","Event-Oriented (Sports)"
30,"Sports Bar; Bar; Restaurant","Food-Focused","Event-Oriented (Sports)"
31,"Pub/Brewery; Bar","Drink-Focused","Nightlife"
32,"Sports Bar; Dive Bar","Drink-Focused","Adult-Oriented; Event-Oriented"
33,"Club","Drink-Focused","Adult-Oriented; Entertainment"
34,"Bar","Drink-Focused","Nightlife"
35,"Dive Bar","Drink-Focused","Adult-Oriented"
36,"Sports Bar; Dive Bar; Entertainment Venue; Restaurant","Food-Focused","Mixed-Audience; Entertainment"
37,"Sports Bar; Bar; Restaurant; Entertainment Venue","Food-Focused","Event-Oriented; Mixed-Audience"
38,"Sports Bar; Bar","Drink-Focused","Event-Oriented (Sports)"
